,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
0,2022-01-03T00:00:00,718.0,726.8,716.0,718.7,4640405,WIPRO,3787
1,2022-01-04T00:00:00,722.75,723.1,711.55,721.5,5114400,WIPRO,3787
2,2022-01-05T00:00:00,720.0,720.85,703.0,713.5,7355632,WIPRO,3787
3,2022-01-06T00:00:00,705.8,712.25,699.95,705.75,6441610,WIPRO,3787
4,2022-01-07T00:00:00,708.0,721.5,707.6,711.5,6560163,WIPRO,3787
5,2022-01-10T00:00:00,709.0,709.0,690.0,693.5,13768910,WIPRO,3787
6,2022-01-11T00:00:00,695.0,698.45,689.0,694.15,7743729,WIPRO,3787
7,2022-01-12T00:00:00,700.0,701.75,683.2,691.35,11730341,WIPRO,3787
8,2022-01-13T00:00:00,663.2,666.0,648.0,649.75,30752967,WIPRO,3787
9,2022-01-14T00:00:00,649.25,649.25,636.5,639.8,13257274,WIPRO,3787
10,2022-01-17T00:00:00,639.5,651.65,633.05,646.65,10228938,WIPRO,3787
11,2022-01-18T00:00:00,648.9,650.0,631.15,633.3,7164990,WIPRO,3787
12,2022-01-19T00:00:00,631.0,631.65,619.0,621.15,8691383,WIPRO,3787
13,2022-01-20T00:00:00,620.65,622.4,610.5,615.2,8413562,WIPRO,3787
14,2022-01-21T00:00:00,610.0,611.0,600.8,605.05,9823347,WIPRO,3787
15,2022-01-24T00:00:00,605.5,605.5,568.45,572.75,13075358,WIPRO,3787
16,2022-01-25T00:00:00,562.5,572.0,550.7,562.7,17356185,WIPRO,3787
17,2022-01-27T00:00:00,555.0,556.9,537.2,544.75,15675872,WIPRO,3787
18,2022-01-28T00:00:00,550.1,564.95,546.65,552.15,14949890,WIPRO,3787
19,2022-01-31T00:00:00,569.0,574.4,562.55,572.6,13126087,WIPRO,3787
20,2022-02-01T00:00:00,579.9,582.4,566.45,576.65,10460101,WIPRO,3787
21,2022-02-02T00:00:00,582.0,590.0,575.0,588.0,8184413,WIPRO,3787
22,2022-02-03T00:00:00,584.7,588.8,576.15,578.25,7041390,WIPRO,3787
23,2022-02-04T00:00:00,577.0,577.8,568.05,571.75,6816779,WIPRO,3787
24,2022-02-07T00:00:00,571.9,573.8,555.6,557.0,7545679,WIPRO,3787
25,2022-02-08T00:00:00,561.4,565.8,554.45,560.25,6976907,WIPRO,3787
26,2022-02-09T00:00:00,564.4,570.75,563.3,568.95,5103738,WIPRO,3787
27,2022-02-10T00:00:00,572.4,574.75,566.2,573.65,5801912,WIPRO,3787
28,2022-02-11T00:00:00,566.0,566.0,557.1,561.45,7721229,WIPRO,3787
29,2022-02-14T00:00:00,550.0,557.15,540.0,541.7,8120773,WIPRO,3787
30,2022-02-15T00:00:00,545.6,565.25,543.25,563.35,6838496,WIPRO,3787
31,2022-02-16T00:00:00,565.15,570.3,557.55,563.9,7303911,WIPRO,3787
32,2022-02-17T00:00:00,572.0,572.4,561.15,564.9,7114420,WIPRO,3787
33,2022-02-18T00:00:00,559.0,565.7,555.35,562.45,6705919,WIPRO,3787
34,2022-02-21T00:00:00,555.75,572.7,555.4,570.8,8767001,WIPRO,3787
35,2022-02-22T00:00:00,556.25,569.0,556.1,564.15,10745062,WIPRO,3787
36,2022-02-23T00:00:00,569.2,570.9,562.65,567.1,7204256,WIPRO,3787
37,2022-02-24T00:00:00,548.0,556.9,531.15,537.15,13476944,WIPRO,3787
38,2022-02-25T00:00:00,548.0,558.75,547.5,555.25,7961312,WIPRO,3787
39,2022-02-28T00:00:00,551.0,560.1,544.1,555.8,9158437,WIPRO,3787
40,2022-03-02T00:00:00,555.0,558.3,550.4,555.2,8177055,WIPRO,3787
41,2022-03-03T00:00:00,563.0,575.95,560.35,569.55,12955663,WIPRO,3787
42,2022-03-04T00:00:00,561.0,580.0,554.05,575.3,13474186,WIPRO,3787
43,2022-03-07T00:00:00,563.0,579.65,562.25,571.85,10556167,WIPRO,3787
44,2022-03-08T00:00:00,572.0,590.75,572.0,587.45,11019999,WIPRO,3787
45,2022-03-09T00:00:00,588.0,596.4,582.15,585.5,11763616,WIPRO,3787
46,2022-03-10T00:00:00,595.0,596.5,584.6,588.25,8080983,WIPRO,3787
47,2022-03-11T00:00:00,587.0,590.0,582.4,586.2,4963594,WIPRO,3787
48,2022-03-14T00:00:00,586.4,600.8,586.0,598.15,7503221,WIPRO,3787
49,2022-03-15T00:00:00,603.7,603.7,584.3,587.7,6926622,WIPRO,3787
50,2022-03-16T00:00:00,595.25,599.45,592.5,598.25,5575148,WIPRO,3787
51,2022-03-17T00:00:00,605.0,611.0,599.0,601.2,8440645,WIPRO,3787
52,2022-03-21T00:00:00,605.1,616.0,598.0,600.0,7796476,WIPRO,3787
53,2022-03-22T00:00:00,603.4,611.0,596.15,610.05,7790250,WIPRO,3787
54,2022-03-23T00:00:00,613.95,615.0,607.7,611.2,5696918,WIPRO,3787
55,2022-03-24T00:00:00,607.0,613.8,605.8,610.55,3875745,WIPRO,3787
56,2022-03-25T00:00:00,611.0,614.0,597.25,603.35,5993097,WIPRO,3787
57,2022-03-28T00:00:00,608.0,609.0,597.1,600.2,5738405,WIPRO,3787
58,2022-03-29T00:00:00,603.0,605.35,599.15,602.5,4701003,WIPRO,3787
59,2022-03-30T00:00:00,605.1,609.3,599.5,600.8,7744382,WIPRO,3787
60,2022-03-31T00:00:00,600.0,603.3,590.2,591.9,7238089,WIPRO,3787
61,2022-04-01T00:00:00,591.7,603.4,589.3,601.8,4283997,WIPRO,3787
62,2022-04-04T00:00:00,605.0,606.5,599.0,605.6,4427974,WIPRO,3787
63,2022-04-05T00:00:00,605.45,609.5,598.05,599.15,6431244,WIPRO,3787
64,2022-04-06T00:00:00,598.0,598.0,591.0,593.55,4117951,WIPRO,3787
65,2022-04-07T00:00:00,592.0,592.0,577.5,580.85,7860765,WIPRO,3787
66,2022-04-08T00:00:00,586.0,587.0,580.5,583.65,4318316,WIPRO,3787
67,2022-04-11T00:00:00,584.0,584.25,568.1,571.1,8582108,WIPRO,3787
68,2022-04-12T00:00:00,568.0,568.0,556.2,558.7,8169266,WIPRO,3787
69,2022-04-13T00:00:00,560.0,565.5,554.6,559.2,5602288,WIPRO,3787
70,2022-04-18T00:00:00,549.85,549.85,536.0,538.6,9465031,WIPRO,3787
71,2022-04-19T00:00:00,544.0,545.55,526.05,530.45,6643004,WIPRO,3787
72,2022-04-20T00:00:00,536.0,540.55,531.35,536.5,4330488,WIPRO,3787
73,2022-04-21T00:00:00,541.0,542.5,537.35,539.2,6694391,WIPRO,3787
74,2022-04-22T00:00:00,535.0,540.85,530.65,537.7,4891212,WIPRO,3787
75,2022-04-25T00:00:00,529.95,531.15,523.3,529.35,4736884,WIPRO,3787
76,2022-04-26T00:00:00,537.0,537.75,527.1,529.25,4359370,WIPRO,3787
77,2022-04-27T00:00:00,527.0,527.0,514.5,518.95,8137539,WIPRO,3787
78,2022-04-28T00:00:00,524.0,526.65,516.0,522.55,6620669,WIPRO,3787
79,2022-04-29T00:00:00,528.5,528.5,507.0,508.8,12075630,WIPRO,3787
80,2022-05-02T00:00:00,515.5,519.0,492.6,495.0,21911427,WIPRO,3787
81,2022-05-04T00:00:00,500.0,503.85,489.25,491.75,8633927,WIPRO,3787
82,2022-05-05T00:00:00,501.0,503.7,496.3,501.15,5434766,WIPRO,3787
83,2022-05-06T00:00:00,490.0,490.9,481.0,485.1,9220891,WIPRO,3787
84,2022-05-09T00:00:00,482.0,489.35,474.6,483.15,8337625,WIPRO,3787
85,2022-05-10T00:00:00,483.0,483.75,476.15,477.65,7484767,WIPRO,3787
86,2022-05-11T00:00:00,480.05,481.95,462.55,471.9,10514671,WIPRO,3787
87,2022-05-12T00:00:00,468.1,476.0,462.15,473.8,7286500,WIPRO,3787
88,2022-05-13T00:00:00,479.5,479.5,467.0,468.65,8387659,WIPRO,3787
89,2022-05-16T00:00:00,474.0,474.35,465.0,468.0,3657033,WIPRO,3787
90,2022-05-17T00:00:00,471.0,489.0,468.3,486.65,5660725,WIPRO,3787
91,2022-05-18T00:00:00,490.9,495.25,480.6,481.25,7695484,WIPRO,3787
92,2022-05-19T00:00:00,466.15,473.8,450.0,451.15,11472989,WIPRO,3787
93,2022-05-20T00:00:00,462.0,462.2,455.0,459.6,6365956,WIPRO,3787
94,2022-05-23T00:00:00,463.8,467.8,457.5,466.0,7055784,WIPRO,3787
95,2022-05-24T00:00:00,468.45,469.6,458.0,459.95,6889730,WIPRO,3787
96,2022-05-25T00:00:00,460.15,460.85,443.2,444.85,7740753,WIPRO,3787
97,2022-05-26T00:00:00,446.0,454.7,444.0,453.35,5791541,WIPRO,3787
98,2022-05-27T00:00:00,460.0,467.95,456.25,466.95,5707236,WIPRO,3787
99,2022-05-30T00:00:00,473.15,481.5,473.15,476.25,6145574,WIPRO,3787
100,2022-05-31T00:00:00,475.9,480.75,470.4,478.05,15793502,WIPRO,3787
101,2022-06-01T00:00:00,478.95,478.95,468.5,470.75,5257283,WIPRO,3787
102,2022-06-02T00:00:00,471.8,476.45,468.1,474.15,5267520,WIPRO,3787
103,2022-06-03T00:00:00,479.65,488.0,474.5,475.5,11634889,WIPRO,3787
104,2022-06-06T00:00:00,472.0,475.5,464.2,473.2,6895578,WIPRO,3787
105,2022-06-07T00:00:00,470.0,470.75,465.15,467.65,2350671,WIPRO,3787
106,2022-06-08T00:00:00,471.05,472.0,464.3,470.4,2813826,WIPRO,3787
107,2022-06-09T00:00:00,467.05,476.15,464.25,475.05,3701119,WIPRO,3787
108,2022-06-10T00:00:00,467.2,467.2,456.3,460.95,8726549,WIPRO,3787
109,2022-06-13T00:00:00,450.05,453.0,445.0,446.1,7065411,WIPRO,3787
110,2022-06-14T00:00:00,440.0,453.7,438.0,445.9,6528192,WIPRO,3787
111,2022-06-15T00:00:00,448.45,450.65,439.3,440.1,5695798,WIPRO,3787
112,2022-06-16T00:00:00,446.0,446.75,419.75,422.3,8972343,WIPRO,3787
113,2022-06-17T00:00:00,416.0,418.75,402.05,405.2,20775273,WIPRO,3787
114,2022-06-20T00:00:00,409.0,417.9,404.15,414.65,10375419,WIPRO,3787
115,2022-06-21T00:00:00,420.0,426.75,416.65,425.15,6093902,WIPRO,3787
116,2022-06-22T00:00:00,422.7,422.7,410.3,411.25,8101431,WIPRO,3787
117,2022-06-23T00:00:00,412.5,420.8,411.3,419.05,9827505,WIPRO,3787
118,2022-06-24T00:00:00,421.0,426.0,415.75,418.75,7681051,WIPRO,3787
119,2022-06-27T00:00:00,427.0,430.75,424.0,424.9,6223935,WIPRO,3787
120,2022-06-28T00:00:00,422.0,429.1,415.7,427.25,6045914,WIPRO,3787
121,2022-06-29T00:00:00,420.0,424.8,417.4,420.75,8342088,WIPRO,3787
122,2022-06-30T00:00:00,421.9,423.0,415.0,416.05,6061642,WIPRO,3787
123,2022-07-01T00:00:00,415.0,423.2,411.4,422.0,4453624,WIPRO,3787
124,2022-07-04T00:00:00,420.95,421.75,416.0,420.3,3186358,WIPRO,3787
125,2022-07-05T00:00:00,421.1,423.05,413.05,413.6,5756605,WIPRO,3787
126,2022-07-06T00:00:00,418.6,418.6,413.1,416.05,5261455,WIPRO,3787
127,2022-07-07T00:00:00,420.0,423.95,417.2,420.8,5353012,WIPRO,3787
128,2022-07-08T00:00:00,424.0,424.7,416.55,419.1,4767716,WIPRO,3787
129,2022-07-11T00:00:00,414.75,415.0,405.55,411.2,8344787,WIPRO,3787
130,2022-07-12T00:00:00,409.0,414.85,408.0,409.15,4888736,WIPRO,3787
131,2022-07-13T00:00:00,412.0,412.0,405.35,406.7,5978390,WIPRO,3787
